form	flagged	total	fraction
OPNAV9094-10 - Engineering Trial Report (gas Turbine Driven Ships)	479	479	1.00
OPNAV5216-102 - Postal Register Record	23	23	1.00
OPNAV5100-2 - Navosg Deficiency Notice	20	20	1.00
OPNAV1211-3 - Subspecialty Billet Request	19	19	1.00
NAVPERS1770-8 - Authorization For Disclosure Of Information	17	17	1.00
NAVMCHQ737-02 - Aviation Safety Unit Award (sample Format)	5	5	1.00
NAVMC11624 - Water Survival Basic Block Training Records	3	3	1.00
NAVMCHQ631 - Certificate - Transfer To Temporary Disability Retired List (format)	3	3	1.00
NAVMCHQ734 - Navy-Marine Corps Scholarship Certificate Nrotc Program (format)	3	3	1.00
NAVMCHQ807 - Child Development Training Program Certificate	3	3	1.00
NAVPERS1306-101 - NAVY Drug And Alcohol Counselor School Interview	1	1	1.00
NAVMC10968 - Ndr Report Interpretation And Clarification Checklist	13	14	0.93
OPNAV4790-85 - Maintenance Index Page (mip) Cont	64	70	0.91
OPNAV4790-84 - Maintenance Index Page (mip)	64	74	0.86
NAVMC11638 - Wounded Warrior Housing Inspection Checklist	159	185	0.86
NAVPERS12500-2 - Npc Timekeeping Unit	220	265	0.83
OPNAV4790-111 - Aircraft Inventory Record - Equipment List	28	35	0.80
NAVMCHQ344 - Research Material Loan Record	14	18	0.78
NAVMCHQ806 - Child Development Training Certificate (module)	3	4	0.75
NAVMCHQ029 - Reference Service Log	13	18	0.72
NAVMC11601 - Request For Environmental Impact Review	43	60	0.72
OPNAV5580-1C - Incident Report Addendum-ComplaintWitnessSponsor	74	107	0.69
NAVMC11358 - Reports Inventory	46	73	0.63
NAVPERS1610-5 - Fitness Report  Counseling Record (0708)	86	137	0.63
NAVMC11687 - Medical Record Review	18	29	0.62
OPNAV4790-177 - Ifols Mk13 Mod 0 Pole Check Data	18	29	0.62
NAVMC11508 - Officer Candidate (30-Days) Pre-Ship Checklist	109	177	0.62
NAVMC11639 - Risk Factor Worksheet	26	45	0.58
NAVPERS1050-3 - Appellate Leave Statement Of Understanding	16	28	0.57
NAVMC11672 - Marine Corps Telework Agreement Safety Checklist	12	21	0.57
OPNAV5102-4 - Safetygram	5	9	0.56
OPNAV4790-74A - Mobile Facility Inventory Record - Equipment List	16	29	0.55
OPNAV4790-112 - Aircraft Inventory Record Shortages	6	11	0.55
NAVPERS1800-13 - Questionnaire For Applicants For Retired Pay	18	34	0.53
OPNAV5510-23 - Report Of Finding Security Violation	32	61	0.52
NAVMC11667 - Reserve Non-Pay Service Initial Orientation Checklist	38	76	0.50
OPNAV5305-5 - Thompson-Ravitz Unit Award Entry Form	21	42	0.50
NAVMC11677 - Cumulative Active Duty Service Statement	4	8	0.50
NAVPERS1616-27 - Evaluation  Counseling Record (e7-E9)	52	107	0.49
NAVMCHQ956 - Security Services	25	52	0.48
NAVMC538 - Certificate Of Proof Of Citizenship Of Foreign Born Applicants For Enlistment	19	40	0.47
NAVPERS1910-33 - Early Career Transition Program (ectp) Reserve Affiliation Screening Checklist	24	52	0.46
OPNAV4780-3 - Report Of Service Craft Material Inspection	327	713	0.46
NAVPERS1616-26 - Evaluation Rpt  Counseling Record (e1-E6)	52	114	0.46
NAVMC11681 - Intial Notification	10	22	0.45
OPNAV5100-11 - NAVY Employee Report Of UnsafeUnheathly Working Conditions	10	22	0.45
NAVMCHQ959 - Special Act And On The Spot Cash Award Nomination	13	29	0.45
NAVPERS1320-16 - Temp Additional Duty (temadd) Travel Order	19	43	0.44
OPNAV5580-12 - Department Of The NAVY Vehicle Report	68	158	0.43
OPNAV4790-13 - Cycle Pms Schedule (conventional)	8	19	0.42
NAVMCHQ846 - Forms Usage Information	40	100	0.40
OPNAV5040-2 - Implementation Status Rpt	4	10	0.40
OPNAV1500-39 - NAVY Training Feedback System Form	32	81	0.40
OPNAV5100-9 - Medical Referal	14	36	0.39
NAVPERS1306-97 - Reserve Affiliation Screening Checklist And Contact Information Sheet	26	68	0.38
NAVMC11661 - Mmsb Record Request	8	21	0.38
NAVPERS5350-3 - Dapa Admin Screening Form	103	273	0.38
OPNAV4790-34 - Required Reading  Maintenance Information Record	10	27	0.37
NAVMC11121 - USMC Physical Security-Crime Prevention Survey	7	19	0.37
NAVMCHQ837 - Transmittal Of Record Or Information	7	19	0.37
OPNAV4790-162 - Alre Quality Assurance Inspector RecommendationDesignation	13	36	0.36
NAVMCHQ960 - Time Off Award Nominations	9	25	0.36
OPNAV5580-1E - Incident Report Addendum - SuspectArrestee	54	151	0.36
OPNAV5580-1F - Incident Report Addendum - Offense	30	87	0.34
NAVMC11504 - Academic Certificate For The Smcr Enlisted Commissioning Program	9	27	0.33
